FECHA,TMAX,TMIN,NOMBRE
14112019,31.9,16.7,NUEVE DE JULIO
14112019,28.8,19.8,OBERA
14112019,29.1,14.7,OLAVARRIA AERO
14112019,35.3,21.1,ORAN AERO
14112019,31.6,21.5,PARANA AERO
14112019,25.8,9.7,PASO DE INDIOS
14112019,31.7,18.3,PASO DE LOS LIBRES AERO
14112019,31.5,13.2,PEHUAJO AERO
14112019,22.0,9.0,PERITO MORENO AERO
14112019,29.2,12.0,PIGUE AERO
14112019,28.2,17.2,PILAR OBSERVATORIO
14112019,30.1,21.1,POSADAS AERO
14112019,31.6,18.3,PRESIDENCIA ROQUE SAENZ PEÑA AERO
14112019,24.0,6.0,PUERTO DESEADO AERO
14112019,24.8,9.8,PUERTO MADRYN AERO
14112019,27.0,15.2,PUNTA INDIO B.A.
14112019,33.5,19.4,RAFAELA AERO
14112019,32.5,20.4,RECONQUISTA AERO
14112019,32.0,19.1,RESISTENCIA AERO
14112019,30.6,12.8,RIO COLORADO
14112019,29.6,16.2,RIO CUARTO AERO
14112019,21.3,9.0,RIO GALLEGOS AERO
14112019,14.3,5.3,RIO GRANDE B.A.
14112019,36.8,19.6,RIVADAVIA
14112019,33.4,17.8,ROSARIO AERO
14112019,30.9,14.9,SALTA AERO
14112019,24.4,10.6,SAN ANTONIO OESTE AERO
14112019,30.0,16.5,SAN CARLOS (MZA)
14112019,28.8,18.2,SAN FERNANDO AERO
14112019,34.2,20.0,SAN JUAN AERO
14112019,25.9,8.2,SAN JULIAN AERO
14112019,31.1,18.9,SAN LUIS AERO
14112019,31.6,18.6,SAN MARTIN (MZA)
14112019,28.8,15.4,SAN RAFAEL AERO
14112019,24.0,7.3,SANTA CRUZ AERO
14112019,33.7,14.0,SANTA ROSA AERO
14112019,29.4,17.2,SANTA ROSA DE CONLARA AERO
14112019,35.0,17.0,SANTIAGO DEL ESTERO AERO
14112019,32.8,17.5,SAUCE VIEJO AERO
14112019,33.0,19.1,SUNCHALES AERO
14112019,27.5,13.7,TANDIL AERO
14112019,33.5,20.8,TARTAGAL AERO
14112019,35.2,19.0,TERMAS DE RIO HONDO AERO
14112019,36.0,14.0,TINOGASTA
14112019,29.0,10.4,TRELEW AERO
14112019,32.9,16.8,TRENQUE LAUQUEN
14112019,,13.9,TRES ARROYOS
14112019,34.3,18.6,TUCUMAN AERO
14112019,14.5,5.0,USHUAIA AERO
14112019,28.2,10.0,USPALLATA
14112019,32.0,19.0,VENADO TUERTO AERO
14112019,32.0,14.6,VICTORICA
14112019,24.4,8.2,VIEDMA AERO
14112019,33.0,17.9,VILLA DE MARIA DEL RIO SECO
14112019,31.7,18.3,VILLA DOLORES AERO
14112019,22.9,12.9,VILLA GESELL AERO
14112019,29.5,15.4,VILLA REYNOLDS AERO
13112019,27.0,20.4,AEROPARQUE AERO
13112019,27.6,14.9,AZUL AERO
13112019,28.4,14.0,BAHIA BLANCA AERO
13112019,19.8,8.4,BARILOCHE AERO
13112019,-2.0,-10.0,BASE BELGRANO II
13112019,1.0,-0.6,BASE CARLINI (EX JUBANY)
13112019,,2.0,BASE ESPERANZA
13112019,-1.8,-5.3,BASE MARAMBIO
13112019,3.0,-1.7,BASE ORCADAS
13112019,,-4.5,BASE SAN MARTIN
13112019,25.0,15.5,BENITO JUAREZ AERO
13112019,24.5,17.6,BERNARDO DE IRIGOYEN AERO
13112019,31.2,14.9,BOLIVAR AERO
13112019,32.4,20.0,BUENOS AIRES OBSERVATORIO
13112019,31.3,16.6,CAMPO DE MAYO AERO
13112019,34.0,18.0,CATAMARCA AERO
13112019,30.1,19.3,CERES AERO
13112019,33.7,19.1,CHAMICAL AERO
13112019,22.5,8.8,CHAPELCO AERO
13112019,33.0,16.0,CHEPES
13112019,31.8,18.5,CHILECITO AERO
13112019,29.2,13.9,CIPOLLETTI
13112019,26.4,8.1,COMODORO RIVADAVIA AERO
13112019,28.9,20.2,CONCORDIA AERO
13112019,30.4,16.1,CORDOBA AERO
13112019,32.2,16.1,CORDOBA OBSERVATORIO
13112019,27.5,13.8,CORONEL PRINGLES AERO
13112019,29.5,12.6,CORONEL SUAREZ AERO
13112019,29.9,19.6,CORRIENTES AERO
13112019,27.2,16.7,DOLORES AERO
13112019,23.3,7.0,EL BOLSON AERO
13112019,18.4,8.8,EL CALAFATE AERO
13112019,31.0,16.7,EL PALOMAR AERO
13112019,31.2,17.3,EL TREBOL
13112019,31.5,16.0,ESCUELA DE AVIACION MILITAR AERO
13112019,18.4,9.5,ESQUEL AERO
13112019,30.6,16.7,EZEIZA AERO
13112019,29.4,20.9,FORMOSA AERO
13112019,34.4,18.0,GENERAL PICO AERO
13112019,21.0,7.2,GOBERNADOR GREGORES AERO
13112019,30.6,20.1,GUALEGUAYCHU AERO
13112019,28.8,21.2,IGUAZU AERO
13112019,28.0,21.8,ITUZAINGO
13112019,31.5,18.4,JACHAL
13112019,32.6,19.8,JUJUY AERO
13112019,30.0,16.4,JUJUY U N
13112019,30.5,16.2,JUNIN AERO
13112019,30.0,18.4,LA PLATA AERO
13112019,20.6,6.5,LA QUIACA OBSERVATORIO
13112019,36.0,21.1,LA RIOJA AERO
13112019,33.1,18.5,LABOULAYE AERO
13112019,29.0,14.8,LAS FLORES
13112019,,23.3,LAS LOMITAS
13112019,28.7,12.0,MALARGUE AERO
13112019,23.5,6.8,MAQUINCHAO
13112019,23.0,15.2,MAR DEL PLATA AERO
13112019,32.0,17.0,MARCOS JUAREZ AERO
13112019,30.5,14.4,MARIANO MORENO AERO
13112019,33.2,17.0,MENDOZA AERO
13112019,,15.2,MENDOZA OBSERVATORIO
13112019,26.8,21.0,MERCEDES AERO (CTES)
13112019,31.0,17.8,MERLO AERO
13112019,,19.0,METAN
13112019,27.2,21.4,MONTE CASEROS AERO
13112019,30.6,18.1,MORON AERO
13112019,28.1,14.0,NEUQUEN AERO
13112019,,16.6,NUEVE DE JULIO
13112019,26.8,19.5,OBERA
13112019,28.1,15.8,OLAVARRIA AERO
13112019,36.0,23.2,ORAN AERO
13112019,30.5,19.5,PARANA AERO
13112019,,11.2,PASO DE INDIOS
13112019,27.8,20.8,PASO DE LOS LIBRES AERO
13112019,31.9,15.0,PEHUAJO AERO
13112019,19.0,10.2,PERITO MORENO AERO
13112019,28.0,11.4,PIGUE AERO
13112019,31.5,17.5,PILAR OBSERVATORIO
13112019,28.8,20.6,POSADAS AERO
13112019,28.6,20.4,PRESIDENCIA ROQUE SAENZ PEÑA AERO
13112019,17.8,7.4,PUERTO DESEADO AERO
13112019,27.2,11.8,PUERTO MADRYN AERO
13112019,,18.5,PUNTA INDIO B.A.
13112019,28.4,15.4,RAFAELA AERO
13112019,27.9,20.7,RECONQUISTA AERO
13112019,29.5,20.0,RESISTENCIA AERO
13112019,31.6,14.8,RIO COLORADO
13112019,32.1,19.5,RIO CUARTO AERO
13112019,15.2,8.2,RIO GALLEGOS AERO
13112019,20.0,6.1,RIO GRANDE B.A.
13112019,34.5,21.8,RIVADAVIA
13112019,32.7,17.4,ROSARIO AERO
13112019,27.7,15.0,SALTA AERO
13112019,26.2,12.2,SAN ANTONIO OESTE AERO
13112019,30.5,11.3,SAN CARLOS (MZA)
13112019,31.4,18.2,SAN FERNANDO AERO
13112019,34.7,20.0,SAN JUAN AERO
13112019,17.5,6.1,SAN JULIAN AERO
13112019,31.9,17.6,SAN LUIS AERO
13112019,32.3,16.8,SAN MARTIN (MZA)
13112019,30.5,16.7,SAN RAFAEL AERO
13112019,14.8,7.3,SANTA CRUZ AERO
13112019,33.0,18.2,SANTA ROSA AERO
13112019,32.0,17.2,SANTA ROSA DE CONLARA AERO
13112019,29.5,18.6,SANTIAGO DEL ESTERO AERO
13112019,30.6,17.9,SAUCE VIEJO AERO
13112019,31.2,18.4,SUNCHALES AERO
13112019,26.0,16.2,TANDIL AERO
13112019,37.0,22.0,TARTAGAL AERO
13112019,29.2,17.8,TERMAS DE RIO HONDO AERO
13112019,30.0,16.0,TINOGASTA
13112019,28.6,11.5,TRELEW AERO
13112019,33.7,18.3,TRENQUE LAUQUEN
13112019,,,TRES ARROYOS
13112019,30.4,17.5,TUCUMAN AERO
13112019,13.8,5.5,USHUAIA AERO
13112019,28.0,12.2,USPALLATA
13112019,31.8,17.0,VENADO TUERTO AERO
13112019,31.1,17.0,VICTORICA
13112019,26.8,13.5,VIEDMA AERO
13112019,31.3,17.3,VILLA DE MARIA DEL RIO SECO
13112019,32.8,16.7,VILLA DOLORES AERO
13112019,23.0,15.2,VILLA GESELL AERO
13112019,33.0,17.3,VILLA REYNOLDS AERO
12112019,25.0,18.8,AEROPARQUE AERO
12112019,23.3,15.1,AZUL AERO
12112019,24.7,16.2,BAHIA BLANCA AERO
12112019,24.5,4.0,BARILOCHE AERO
12112019,-0.5,-11.0,BASE BELGRANO II
12112019,1.5,-0.1,BASE CARLINI (EX JUBANY)
12112019,3.3,-3.2,BASE ESPERANZA
12112019,-2.5,-9.3,BASE MARAMBIO
12112019,0.6,-6.6,BASE ORCADAS
12112019,-1.7,-10.0,BASE SAN MARTIN
12112019,21.7,14.0,BENITO JUAREZ AERO
12112019,29.0,16.8,BERNARDO DE IRIGOYEN AERO
12112019,23.8,15.8,BOLIVAR AERO
12112019,28.0,18.6,BUENOS AIRES OBSERVATORIO
12112019,27.5,16.6,CAMPO DE MAYO AERO
12112019,35.7,24.6,CATAMARCA AERO
12112019,33.0,18.2,CERES AERO
12112019,34.5,21.3,CHAMICAL AERO
12112019,26.4,6.6,CHAPELCO AERO
12112019,34.0,20.0,CHEPES
12112019,33.4,19.5,CHILECITO AERO
12112019,32.5,13.8,CIPOLLETTI
12112019,14.6,7.8,COMODORO RIVADAVIA AERO
12112019,29.6,,CONCORDIA AERO
12112019,31.0,18.1,CORDOBA AERO
12112019,31.7,18.3,CORDOBA OBSERVATORIO
12112019,22.8,15.5,CORONEL PRINGLES AERO
12112019,23.5,15.7,CORONEL SUAREZ AERO
12112019,34.6,20.6,CORRIENTES AERO
12112019,22.8,16.4,DOLORES AERO
12112019,27.7,5.0,EL BOLSON AERO
12112019,16.5,6.0,EL CALAFATE AERO
12112019,28.0,18.0,EL PALOMAR AERO
12112019,29.5,16.3,EL TREBOL
12112019,31.0,19.3,ESCUELA DE AVIACION MILITAR AERO
12112019,24.6,8.4,ESQUEL AERO
12112019,28.7,18.5,EZEIZA AERO
